English	ไทย	สังกัด	ตำแหน่ง	กลุ่ม	ช่วงที่ปรากฏ
Zhao Hong	เตียวฮ่อง		นักรบ	โจรผ้าเหลือง	ต้น
Zhao Lei	เตียวลุย	จกก๊ก (Shu)	นักรบ		กลาง
Zhao Meng	เตียวเปง		ขุนนาง		ต้น
Zhao Qi	เตียวกี		ขุนนาง	ตั๋งโต๊ะ	ต้น
Zhao Qu	เตียวเหง		นักรบ	ม้าเฉียว	กลาง
Zhao Rong	เตียวหยง	จกก๊ก (Shu)	นักรบ		ปลาย
Zhao Rui	เตียวโยย		นักรบ	อ้วนเสี้ยว	ต้น
Zhao Tong	เตียวหอง	จกก๊ก (Shu)	นักรบ	ลูกจูล่ง	ปลาย
Zhao Yan	เอียวงัน		ขุนนาง		ต้น
Zhao Yue	เตียวเอี๊ย		นักรบ	ม้าเฉียว	กลาง
Zhao Yun	จูล่ง	จกก๊ก (Shu)	นักรบ		ต้น
Zhao Zhi	เตียวติด	จกก๊ก (Shu)	นักรบ		ปลาย
Zhao Zhong	เตียวต๋ง		ขุนนาง	ต้น0ขันที	ต้น
Zhao Zi	เตียวจี๋	ง่อก๊ก ( Wu )	กุนซือ		ปลาย
Zhao Zuo	เตียวเต้	จกก๊ก (Shu)	ขุนนาง		ปลาย
Zheng Bao	เตงโป้		ขุนนาง		ต้น
Zheng Du	เจิ้งตู้		กุนซือ	เล่าเจี้ยง	กลาง
Zheng Lun	เตงหลุน	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Zheng Mao	เตงโป้	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Zheng Tai	แตะถ้าย		ขุนนาง	โฮจิ๋น	ต้น
Zheng Wen	แต้บุ๋น	วุยก๊ก (Wei)	นักรบ		ปลาย
Zheng Xuan	เต้เหี้ยน	จกก๊ก (Shu)	ขุนนาง	อ.เล่าปี่	ต้น
Zhi Xi	ชีสิบ	วุยก๊ก (Wei)	ขุนนาง		กลาง
Zhong Hui	จงโฮย	วุยก๊ก (Wei)	กุนซือ	ลูกจงฮิว	ปลาย
Zhong Jin	จงจิ๋น	วุยก๊ก (Wei)	นักรบ		กลาง
Zhong Jing	จงจิ๋น	วุยก๊ก (Wei)	ขุนนาง		กลาง
Zhong Shen	จงสิน	วุยก๊ก (Wei)	นักรบ		กลาง
Zhong Yao	จงฮิว	วุยก๊ก (Wei)	ขุนนาง		กลาง
Zhong Yu	จงยี่	วุยก๊ก (Wei)	ขุนนาง	ลูกจงฮิว	ปลาย
Zhou Bi	เจียวปี		ขุนนาง	ตั๋งโต๊ะ	ต้น
Zhou Cai	จิวท่าย	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Zhou Cang	จิวฉอง	จกก๊ก (Shu)	นักรบ	โจรผ้าเหลือง	ต้น
Zhou Fang	จิวหอง	ง่อก๊ก ( Wu )	ขุนนาง		ปลาย
Zhou Feng	จูฮง		ขุนนาง		ต้น
Zhou Huan	โจห้วน		ขุนนาง	ตั๋งโต๊ะ	ต้น
Zhou Jing	เจาเจ้ง		นักรบ	เล่าเอี๋ยน	ต้น
Zhou Ping	จิวเผง	ง่อก๊ก ( Wu )	นักรบ	ลูกจิวท่าย	ปลาย
Zhou Shan	จิวเสี้ยน	ง่อก๊ก ( Wu )	นักรบ		กลาง
Zhou Tai	จิวท่าย	ง่อก๊ก ( Wu )	นักรบ		ต้น
Zhou Xin	จิวซิ่น		นักรบ	อองลอง	ต้น
Zhou Xun	จิวซุน	ง่อก๊ก ( Wu )	ขุนนาง	ลูกจิวยี่	กลาง
Zhou Yin	จิวอิ๋น	ง่อก๊ก ( Wu )	ขุนนาง	ลูกจิวยี่	กลาง
Zhou Ying	นางจิวหยิง	ง่อก๊ก ( Wu )	ขุนนาง	ลูกจิวยี่	กลาง
Zhou Yu	จิวยี่	ง่อก๊ก ( Wu )	กุนซือ		ต้น
Zhou Zhi	โจวจื่อ	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Zhu Bao	จูโพ	จกก๊ก (Shu)	นักรบ	ม่าน	ปลาย
Zhu En	จูอิ๋น	ง่อก๊ก ( Wu )	ขุนนาง		ท้ายสุด
Zhu Fang	จูฮอง	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Zhu Guang	จูกวง(จูก๋ง)	วุยก๊ก (Wei)	นักรบ		กลาง
Zhu Huan	จูหวน	ง่อก๊ก ( Wu )	กุนซือ		กลาง
Zhu Jun	จูฮี		ขุนนาง		ต้น
Zhu Ling	จูเหลง	วุยก๊ก (Wei)	นักรบ		ต้น
Zhu Ran	จูเหียน	ง่อก๊ก ( Wu )	นักรบ		กลาง
Zhu Rong	จกหยงฮูหยิน		นักรบ	เมียเบ้งเฮ็ก	ปลาย
Zhu Yi	จูอี้	ง่อก๊ก ( Wu )	นักรบ		ท้ายสุด
Zhu Zan	จูจ้าน	วุยก๊ก (Wei)	นักรบ		ปลาย
Zhu Zhi	จูตี	ง่อก๊ก ( Wu )	นักรบ		ต้น
Zhuge Dan	จูกัดเอี๋ยน	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Zhuge Jin	จูกัดกิ๋น	ง่อก๊ก ( Wu )	กุนซือ		ต้น
Zhuge Jing	จูกัดเจ้ง	วุยก๊ก (Wei)	ขุนนาง	ลูกจูกัดเอี๋ยน	ท้ายสุด
Zhuge Jun	จูกัดจุ้น			น้องขงเบ้ง	กลาง
Zhuge Ke	จูกัดเก๊ก	ง่อก๊ก ( Wu )	กุนซือ	ลูกจูกัดกิ๋น	ปลาย
Zhuge Liang	จูกัดเหลียง(ขงเบ้ง)	จกก๊ก (Shu)	กุนซือ		กลาง
Zhuge Qian	จูกัดเขียน	วุยก๊ก (Wei)	นักรบ		ปลาย
Zhuge Shang	จูกัดสง	จกก๊ก (Shu)	นักรบ	ลูกจูกัดเจี๋ยม	ท้ายสุด
Zhuge Xing	จูกัดเจง	ง่อก๊ก ( Wu )	นักรบ		ท้ายสุด
Zhuge Xu	จูกัดสู	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Zhuge Xuan	จูกัดเสียน		ขุนนาง	เล่าเปียว	กลาง
Zhuge Zhan	จูกัดเจี๋ยม	จกก๊ก (Shu)	กุนซือ	ลูกขงเบ้ง	ปลาย
Zhuo Ying	โตเอ๋ง	จกก๊ก (Shu)	นักรบ	เล่าเจี้ยง	กลาง
Zong Bao	จงโป		นักรบ	ขงหยง	ต้น
Zong Yu	จองอี้	จกก๊ก (Shu)	กุนซือ		ปลาย
Zu Bi	เจาปิด	วุยก๊ก (Wei)	ขุนนาง		ปลาย
Zu Mao	โจเมา	ง่อก๊ก ( Wu )	นักรบ		ต้น
Zuo Ci	โจจู๋			นักพรต	กลาง
Zuo Ling	จั่วหลิง		ขุนนาง	ลิฉุย	ต้น
Zuo Xian	โจหอม	ง่อก๊ก ( Wu )	ขุนนาง		กลาง
